Number of Points,Range,Standard Deviation,Variance
20.0,1353.03,395.98973672955213,156807.87159514
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
4.0,715.0239999999999,269.0006155731804,72361.33117875
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
3.0,715.0239999999999,306.64242615499603,94029.5775182222
1.0,0.0,0.0,0.0
2.0,556.732,278.366,77487.62995599999
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
16.0,762.887,233.01306533701066,54295.08861774999
1.0,0.0,0.0,0.0
10.0,760.6119999999999,272.8395164704702,74441.40174783998
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
6.0,759.5499999999998,301.6821921712483,91012.14507324998
1.0,0.0,0.0,0.0
4.0,2.2680000000000007,0.8476347975396008,0.71848475
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
3.0,715.0239999999999,306.64242615499603,94029.5775182222
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
14.0,762.887,243.5936698317968,59337.87598212243
1.0,0.0,0.0,0.0
2.0,0.8440000000000012,0.4220000000000006,0.1780840000000005
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
2.0,556.732,278.366,77487.62995599999
1.0,0.0,0.0,0.0
5.0,759.5499999999998,299.1669656485488,89500.87333535998
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
21.0,762.887,209.61513025485453,43938.50283175963
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
40.0,1151.194,281.7350350652176,79374.62998319937
8.0,759.9839999999999,289.43386066714356,83771.95970068747
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
5.0,759.5499999999998,299.1669656485488,89500.87333535998
1.0,0.0,0.0,0.0
2.0,556.732,278.366,77487.62995599999
1.0,0.0,0.0,0.0
21.0,762.887,209.61513025485453,43938.50283175963
1.0,0.0,0.0,0.0
16.0,762.887,233.01306533701066,54295.08861774999
1.0,0.0,0.0,0.0
51.0,1356.135,411.542454954064,169367.1922296178
15.0,762.887,237.38770029970428,56352.92025358222
1.0,0.0,0.0,0.0
8.0,759.9839999999999,289.43386066714356,83771.95970068747
1.0,0.0,0.0,0.0
33.0,1151.194,285.6857644839592,81616.3560287842
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
26.0,762.887,191.40342490459017,36635.27106520709
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
24.0,1353.03,405.51867955536443,164445.39946832636
21.0,762.887,209.61513025485453,43938.50283175963
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
16.0,762.887,233.01306533701066,54295.08861774999
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
44.0,1301.938,343.8943077990268,118263.2949365718
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
36.0,1151.194,275.61401299199656,75963.08415755245
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
4.0,2.2680000000000007,0.8476347975396008,0.71848475
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
17.0,762.887,227.88646043053345,51932.238847557084
13.0,762.887,250.42615640312061,62713.25981084023
1.0,0.0,0.0,0.0
37.0,1151.194,272.47899871590346,74244.80474122132
1.0,0.0,0.0,0.0
32.0,882.057,224.65333147126853,50469.119341139645
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
10.0,8.930000000000003,2.382291226949384,5.675311490000002
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
5.0,759.5499999999998,299.1669656485488,89500.87333535998
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
3.0,715.0239999999999,306.64242615499603,94029.5775182222
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
14.0,762.887,243.5936698317968,59337.87598212243
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
25.0,762.887,195.15285242047167,38084.635807846396
5.0,759.5499999999998,299.1669656485488,89500.87333535998
33.0,1151.194,285.6857644839592,81616.3560287842
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
66.0,1358.634,380.8506122901069,145047.18888174932
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
70.0,1358.634,372.33640402802297,138634.39776451918
39.0,1151.194,266.4869974483166,71015.31980901907
1.0,0.0,0.0,0.0
7.0,2.8510000000000026,0.8753740425016698,0.7662797142857153
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
8.0,759.5499999999998,297.2717880639702,88370.51597875002
33.0,1151.194,285.6857644839592,81616.3560287842
1.0,0.0,0.0,0.0
24.0,762.887,198.5528146363034,39423.22019999826
1.0,0.0,0.0,0.0
60.0,1358.634,394.57549615336785,155689.8221646764
1.0,0.0,0.0,0.0
50.0,1301.938,362.078993214842,131101.19732747358
1.0,0.0,0.0,0.0
